Plot,Tag,Old tag,species ,dbh,Volume,Note,,,,,,,,,,,,,,,,,,,,
BGS,412,1,bg,19.4,0.48627,Volume is from Hannah's processing of the 2023 data,,,,,,,,,,,,,,,,,,,,
BGS,411,2,rm,28.7,0.57327,,,,,,,,,,,,,,,,,,,,,
BGS,413,3,rm,26,0.57327,,,,,,,,,,,,,,,,,,,,,
BGS,452,4,bg,27.2,0.57327,volume unknown put in random,,,,,,,,,,,,,,,,,,,,
BGS,432,5,hem,31,0.57327,,,,,,,,,,,,,,,,,,,,,
BGS,433,6,hem,29.1,0.57327,,,,,,,,,,,,,,,,,,,,,
BGS,434,7,bg,25,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,418,8,rm,26.7,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,417,9,hem,28.1,0.57327,,,,,,,,,,,,,,,,,,,,,
BGS,423,10,hem,21,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,425,11,hem,26.1,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,426,12,rm,24.2,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,442,13,rm,17.3,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,427,14,bg,19.6,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,428,15,hem,28.8,0.57327,,,,,,,,,,,,,,,,,,,,,
BGS,429,16,hem,18.5,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,431,18,bg,16.9,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,444,19,bg,25.2,0.57327,,,,,,,,,,,,,,,,,,,,,
BGS,443,20,bg,24.7,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,424,21,rm,17.1,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,422,23,rm,18.8,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,439,24,hem,35.7,0.57327,,,,,,,,,,,,,,,,,,,,,
BGS,441,25,bg,25.7,0.57327,,,,,,,,,,,,,,,,,,,,,
BGS,421,26,rm,25,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,420,27,rm,25.2,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,419,28,rm,20.6,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,435,29,bg,19,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,436,30,hem,19.5,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,438,31,hem,18.8,0.48627,,,,,,,,,,,,,,,,,,,,,
BGS,414,32,bg,27.8,0.48627,,,,,,,,,,,,,,,,,,,,,
C1,217,,hem,35.65,0.48627,,,,,,,,,,,,,,,,,,,,,
C1,351,,hem,27.31,0.57327,,,,,,,,,,,,,,,,,,,,,
C1,356,,ro,39.63,0.57327,,,,,,,,,,,,,,,,,,,,,
C1,362,,ro,42.68,0.57327,,,,,,,,,,,,,,,,,,,,,
C1,366,,ro,37.11,0.57327,,,,,,,,,,,,,,,,,,,,,
C2,380,,rm,21.72,0.48627,,,,,,,,,,,,,,,,,,,,,
C2,386,,ro,42.74,0.57327,,,,,,,,,,,,,,,,,,,,,
D1,529,,rm,26.17,0.57327,,,,,,,,,,,,,,,,,,,,,
