"X","airt","rh","parr","bar","datetime_posx","UNIQUE_REMARK","SECONDS","NDX","REMARK","DATE","TIME","H2O","CO2","CH4","CAVITY_P","CAVITY_T","LASER_PHASE_P","LASER_T","RESIDUAL","RING_DOWN_TIME","THERMAL_ENCLOSURE_T","PHASE_ERROR","LASER_T_SHIFT","INPUT_VOLTAGE","CHK","ERROR","ERROR_comment","TEMPORAL_CHECK","PLOT","SPECIES","DBH","OLD_TAG","DEPTH1","DEPTH2","DEPTH3","DEPTH4","MEAN_DEPTH","RADIUS","VOLUME_CYLINDER","VOLUME_CAP","VOLUME_TUBES","VOLUME_CM3","VOLUME","roll_cor","vol_system","pres_torr","nmol","surfarea","CO2_ln_R2","CH4_ln_R2","CO2_ln_slope","CH4_ln_slope","CO2_SE","CH4_SE","index_CO2_ln_R2","CO2_R2_Remark_Rank","CO2_flux_umolpm2ps","CH4_flux_nmolpm2ps"
1,-1.8,50,1110,1021,"2025-04-09 09:00:00",1,1744203604,12933,411,"2025-04-09","09:00:04",3185.6514,457.41443,2006.0916,40.0525,55.0018,31.6748,36.3978,0.00224886,11.3947,54.4998,-179.75,-0.209033,16.027,114,FALSE,NA,209,"BGS","rm",28.7,2,4.8,4.9,4.8,4.7,4.8,5.08,389.1513439,19.79203372,28.88,437.8233777,0.4378233777,0.784953790477958,0.4658233777,765.813302,0.0210806182057263,0.00810731966555996,0.592743285649928,0.887313289165117,-0.0142675279244224,0.014329683245348,0.00403777007397102,0.00174351824972867,"20:79",1,-0.0370983655907828,0.0372599815926105
2,-1.8,50,1110,1021,"2025-04-09 09:05:00",2,1744203915,14177,412,"2025-04-09","09:05:15",3224.6477,447.26505,2011.8536,40.0656,55.001,31.5972,36.3978,0.00223839,11.3947,54.4998,528.75,-0.209033,15.9995,106,FALSE,NA,138,"BGS","bg",19.4,1,3.7,4.3,3.3,4.1,3.85,5.08,312.1318071,19.79203372,28.88,360.8038408,0.3608038408,0.914672105349684,0.3888038408,765.813302,0.0175951352319276,0.00810731966555996,0.983939232323771,0.994598487488468,0.104167063350932,0.0781463878855379,0.00379254503975398,0.00164113391176674,"254:313",1,0.226071456656425,0.169599364457494
3,-1.6,48,1217,1021,"2025-04-09 09:08:00",3,1744204080,14837,413,"2025-04-09","09:08:00",3108.269,440.12619,2007.2072,40.0677,55.001,31.5759,36.3978,0.00223829,11.395,54.4998,-163,-0.209033,15.9783,122,FALSE,NA,140,"BGS","rm",26,3,3.3,3.1,3.6,4.4,3.6,5.08,291.863508,19.79203372,28.88,340.5355417,0.3405355417,0.922467859401148,0.3685355417,765.813302,0.016665619388391,0.00810731966555996,0.983613603185645,0.937212064998878,0.104692299805502,0.020280080577944,0.00364732426457581,0.00141683411678289,"370:429",1,0.215208243097358,0.0416882666553362
4,-1.6,48,1217,1021,"2025-04-09 09:11:00",4,1744204270,15597,452,"2025-04-09","09:11:10",3395.9304,437.50394,2011.217,40.0743,55.001,31.5586,36.3978,0.00224791,11.3943,54.4998,-129,-0.209033,15.9619,156,FALSE,NA,122,"BGS","bg",27.2,4,5,5,5.5,5.5,5.25,5.08,425.6342824,19.79203372,28.88,474.3063162,0.4743063162,0.944820376049094,0.5023063162,765.813302,0.0227148943180857,0.00810731966555996,0.969186638777226,0.996331898561699,0.0957300347318718,0.142527679911095,0.00627962155396347,0.00318153930834814,"511:570",1,0.26821412152261,0.399330644421909
5,-1.6,48,1217,1021,"2025-04-09 09:16:00",5,1744204583,16849,432,"2025-04-09","09:16:23",3175.2769,456.32776,2007.0262,40.08,55.001,31.5336,36.3978,0.00223535,11.3964,54.4998,62.75,-0.209033,15.9262,185,FALSE,NA,127,"BGS","hem",31,5,5.9,5.5,5.5,5.2,5.525,5.08,447.9294115,19.79203372,28.88,496.6014452,0.4966014452,0.943714553270123,0.5246014452,765.813302,0.0237231068025997,0.00810731966555996,0.988805943790587,0.357266912939354,0.116563723534313,0.0032787885523912,0.00476520830146907,0.00168971169575583,"682:741",1,0.341081118888166,0.0095941759077222
6,-1.6,48,1217,1021,"2025-04-09 09:19:00",6,1744204763,17569,433,"2025-04-09","09:19:23",3903.261,436.50714,2006.5841,40.0874,55.001,31.5159,36.398,0.00227996,11.3935,54.4998,-21,-0.209033,15.9395,89,FALSE,NA,194,"BGS","hem",29.1,6,5.3,5,5,5.3,5.15,5.08,417.5269628,19.79203372,28.88,466.1989965,0.4661989965,0.708256286932129,0.4941989965,765.813302,0.0223482715935665,0.00810731966555996,0.72288111825174,0.414658553239991,0.0271677463184207,0.00554187552099142,0.00608843786527605,0.00238324525752038,"800:859",1,0.0748893837119039,0.0152764840156701
7,-1.5,49,1280,1021,"2025-04-09 09:27:00",8,1744205246,19501,434,"2025-04-09","09:27:26",3359.1438,441.8038,2007.4689,40.0935,55.001,31.5114,36.399,0.00224333,11.3956,54.4998,-1.25,-0.208234,15.892,110,FALSE,NA,124,"BGS","bg",25,7,3.5,3.6,4.4,3.6,3.775,5.08,306.0513174,19.79203372,28.88,354.7233511,0.3547233511,0.906489239265993,0.3827233511,765.813302,0.0173008380102049,0.00810731966555996,0.972049525941373,0.897786443351649,0.0773739916643498,0.0152863212003471,0.00367638716148348,0.00144526190407814,"1094:1153",1,0.165114359764843,0.0326206659868886
8,-1.5,49,1280,1021,"2025-04-09 09:31:00",9,1744205490,20477,435,"2025-04-09","09:31:30",3308.915,440.70963,2009.6084,40.0964,55.001,31.5123,36.399,0.0022404,11.3968,54.5005,-7,-0.208234,15.8685,197,FALSE,NA,164,"BGS","bg",19,29,3.2,3.3,4.5,3.9,3.725,5.08,301.9976575,19.79203372,28.88,350.6696913,0.3506696913,0.951372870624748,0.3786696913,765.813302,0.0171175941309205,0.00810731966555996,0.981871497396705,0.995490768673011,0.101141896360099,0.079930669630451,0.00381009814566779,0.00149141161586436,"1213:1272",1,0.213548497276901,0.168763638019478
9,-1.5,49,1280,1021,"2025-04-09 09:34:00",10,1744205682,21245,436,"2025-04-09","09:34:42",3154.134,438.84668,2006.5035,40.0989,55.001,31.4991,36.3994,0.00223405,11.3973,54.499,1.75,-0.208234,15.8477,139,FALSE,NA,153,"BGS","hem",19.5,30,2.9,3.2,3.9,3.3,3.325,5.08,269.5683789,19.79203372,28.88,318.2404126,0.3182404126,0.858667999661889,0.3462404126,765.813302,0.0156516430830841,0.00810731966555996,0.96304115521842,0.529907060838177,0.0704056743539878,0.00474333425952832,0.00349633529909576,0.00113251609488185,"1384:1443",1,0.135922170516309,0.00915727736372347
10,-1.2,48,1337,1021,"2025-04-09 09:41:00",11,1744206115,22977,438,"2025-04-09","09:41:55",3091.5764,446.95898,2006.35,40.1034,55.001,31.5045,36.399,0.00223044,11.3975,54.4998,160.75,-0.208234,15.81,90,FALSE,NA,157,"BGS","hem",18.8,31,3.2,3.1,4.5,4.4,3.8,5.08,308.0781473,19.79203372,28.88,356.750181,0.356750181,0.750218288266195,0.384750181,765.813302,0.0173732735626989,0.00810731966555996,0.97535984061835,0.247134686509344,0.0755119847179781,0.0028770130591906,0.00337711282937938,0.00141294087537775,"1597:1656",1,0.16181554717038,0.00616518615062197
11,-1.2,48,1337,1021,"2025-04-09 09:50:00",13,1744206650,25117,418,"2025-04-09","09:50:50",3277.3572,456.96725,2007.166,40.1104,55.0003,31.4893,36.3994,0.00224052,11.3974,54.4996,-50.75,-0.208234,15.7429,71,FALSE,NA,134,"BGS","rm",26.7,8,3.6,3.6,4.4,4.4,4,5.08,324.2927866,19.79203372,28.88,372.9648203,0.3729648203,0.786359425761907,0.4009648203,765.813302,0.0181054405068371,0.00810731966555996,0.972425564894524,0.140741535189795,0.0863151089191468,0.00246068074465872,0.00426216003702286,0.00178288708946679,"1871:1930",1,0.192760756186223,0.0054952451200357
12,-0.5,46,1393,1021,"2025-04-09 09:53:00",14,1744206839,25873,419,"2025-04-09","09:53:59",3135.5847,435.4451,2006.1252,40.1096,55.001,31.4999,36.399,0.00223247,11.397,54.5005,-103.5,-0.208234,15.7186,183,FALSE,NA,155,"BGS","rm",20.6,28,3.5,3.7,4.4,4.5,4.025,5.08,326.3196165,19.79203372,28.88,374.9916503,0.3749916503,0.767019581086789,0.4029916503,765.813302,0.0181502426076146,0.00810731966555996,0.938510498277496,0.285072245939651,0.0455206496248968,0.00362655181994543,0.00342515721965616,0.00168825730581437,"1979:2038",1,0.101909246018491,0.00811893425649814
13,-0.5,46,1393,1021,"2025-04-09 09:58:00",15,1744207103,26929,420,"2025-04-09","09:58:23",3302.8811,442.50403,2007.0273,40.1137,55.001,31.4905,36.399,0.00223778,11.3974,54.4998,-13.5,-0.208234,15.6778,195,FALSE,NA,159,"BGS","rm",25.2,27,3.5,3.1,4.9,4.8,4.075,5.08,330.3732764,19.79203372,28.88,379.0453101,0.3790453101,0.80553470816283,0.4070453101,765.813302,0.0183328144022509,0.00810731966555996,0.969340263869555,0.530516343542615,0.0705689927757722,0.00541310086135614,0.00372647186527543,0.00151197573809877,"2193:2252",1,0.159575334448424,0.0122404663348195
14,-0.5,46,1393,1021,"2025-04-09 10:01:00",16,1744207275,27617,421,"2025-04-09","10:01:15",3091.9431,440.18784,2007.1581,40.1149,55.001,31.4876,36.3994,0.00222871,11.3975,54.4998,63,-0.208234,15.65,18,FALSE,NA,130,"BGS","rm",25,26,3.4,3.4,4.2,4.4,3.85,5.08,312.1318071,19.79203372,28.88,360.8038408,0.3608038408,0.926051935176346,0.3888038408,765.813302,0.0175112413173796,0.00810731966555996,0.986952641872033,0.858753432830008,0.103496334815228,0.0116301778271694,0.00337492202834334,0.00133772456390337,"2296:2355",1,0.223544817421306,0.0251203676303461
15,-0.5,46,1393,1021,"2025-04-09 10:05:00",17,1744207515,28577,441,"2025-04-09","10:05:15",3247.7231,437.93365,2024.9824,40.1182,55.001,31.4971,36.399,0.00222922,11.3977,54.5005,170.25,-0.208234,15.619,217,FALSE,NA,139,"BGS","bg",25.7,25,5.6,5.5,5,5.1,5.3,5.08,429.6879423,19.79203372,28.88,478.359976,0.478359976,0.713252754323145,0.506359976,765.813302,0.0228058234068725,0.00810731966555996,0.886816805313169,0.990479186720549,0.0351401986662968,0.24603189219229,0.00463695298311015,0.00890964123762503,"2432:2491",1,0.098849089258235,0.692085685190323
