LABEL,DATE_TIME initial_value,COMMENT,VOLUME_TOTAL,VOLUME,COLLAR_HEIGHT,TA initial_value,FCH4_DRY LIN,FCO2_DRY LIN,FCH4_DRY LIN_R2,FCO2_DRY LIN_R2,FCO2_DRY LIN_SE,FCH4_DRY LIN_SE,DOY initial_value,SWC_2 mean,TS_2 mean,EC_2 mean,PA mean,CH4_DRY mean,CO2_DRY mean,OBSERVATION,FCO2_DRY LIN_dCdt,CH4_DRY DEADBAND,LATITUDE,LONGITUDE,FCH4_DRY LIN_CV,FCH4_DRY LIN_dCdt,FCO2_DRY LIN_CV
411,5/24/24 13:42,No moss,6358.06,4244.1,6.5,26.2973,0.35274,11.60422,0.80815,0.99434,0.03167,0.00622,145.57131,0.28,27.96,0.012,96.78,2020.523,437.96,19,1.51328,5,42.53725,-72.18338,13.55739,0.046,2.36009
412,5/24/24 13:46,No moss,6199.06,4244.1,6,26.16098,1.56005,6.8989,0.95606,0.97164,0.04367,0.01239,145.57425,0.256,26.8,0.012,96.78,2022.782,420.41,19,0.92172,5,42.53729,-72.18328,6.0452,0.20843,4.862
413,5/24/24 13:49,No moss,6676.06,4244.1,7.5,26.28249,0.92992,3.94828,0.94521,0.95713,0.02878,0.00771,145.57612,0.1032,26.36,0.0036,96.78,2022.414,418.87,19,0.49024,5,42.53732,-72.18326,6.76623,0.11546,5.9705
452,5/24/24 13:52,No moss no new tag,5881.06,4244.1,5,26.06993,5568.15154,1.20299,0.96771,0.31793,0.0689,39.76828,145.57802,0.583,26,0.018,96.78,7807.76,413.52,20,0.16959,5,42.5373,-72.18323,5.18226,784.97739,40.63848
432,5/24/24 13:56,No moss ,6358.06,4244.1,6.5,26.07755,12.25232,4.88822,0.92765,0.87063,0.068,0.12349,145.5808,0,25.9,0,96.78,2071.641,420.74,20,0.63607,5,42.53738,-72.18314,7.82211,1.59432,10.74668
433,5/24/24 13:58,Moss,5881.06,4244.1,5,26.01093,31.87103,-1.69878,0.9124,0.45785,0.07241,0.38684,145.5822,0,26,0,96.78,2137.777,408.75,19,-0.23993,5,42.53745,-72.18316,8.66281,4.50132,30.20027
434,5/24/24 14:02,No moss,6040.06,4244.1,5.5,25.9306,0.24046,6.0432,0.02226,0.9884,0.02491,0.06066,145.58531,0.272,25.2,0.009,96.77,2067.428,415.13,20,0.82934,5,42.53745,-72.18296,183.82402,0.033,3.19591
414,5/24/24 14:06,No moss,6199.06,4244.1,6,25.2063,5.48348,0.57197,0.97646,0.32013,0.03089,0.03156,145.58752,0.54,25.1,0.021,96.77,2043.29,411.82,20,0.07643,5,42.53741,-72.18293,4.44285,0.73275,40.43315
418,5/24/24 14:08,No moss,6994.06,4244.1,8.5,25.88501,0.57136,1.13488,0.80052,0.66186,0.02569,0.00903,145.58946,0.268,24.4,0.011,96.76,2024.076,421.37,20,0.13448,5,42.53745,-72.18279,13.38594,0.06771,19.13412
417,5/24/24 14:10,No moss,6199.06,4244.1,6,26.35669,0.98178,3.13191,0.94265,0.96278,0.02286,0.00899,145.59073,0.1023,24.455,0.0033,96.74,2028.87,420.11,20,0.41915,5,42.53746,-72.1828,6.9275,0.13139,5.56139
435,5/24/24 14:19,Moss,6199.06,4244.1,6,24.85866,16.71025,-6.86698,0.93496,0.96623,0.05165,0.1773,145.59688,0.729,22.9,0.024,96.76,2048.228,408.35,19,-0.91623,5,42.5373,-72.18278,8.02667,2.22956,5.74166
438,5/24/24 14:21,Moss,5404.06,4244.1,3.5,26.07548,5970.48061,-8.44668,0.93519,0.78905,0.18614,66.9895,145.59819,0.713,22.8,0.023,96.77,9254.112,396.63,19,-1.29803,5,42.53729,-72.18277,7.38235,917.50064,14.38197
