"tree","sp","site","dbh","sensor_count","spacing","percent_damaged"
411,"A.rubrum","BGS",28.7,7,12.9,0
413,"A.rubrum","BGS",26,7,11.7,0
418,"A.rubrum","BGS",26.7,7,12,0
419,"A.rubrum","BGS",20.6,7,9.2,0
420,"A.rubrum","BGS",25.2,7,11.3,16
421,"A.rubrum","BGS",25,7,11.2,0
422,"A.rubrum","BGS",18.8,7,8.4,0
424,"A.rubrum","BGS",17.1,7,7.7,0
426,"A.rubrum","BGS",24.2,7,10.9,0
442,"A.rubrum","BGS",17.3,7,7.8,0
412,"N.sylvatica","BGS",19.4,7,8.7,0
414,"N.sylvatica","BGS",27.8,7,12.5,0
427,"N.sylvatica","BGS",19.6,7,8.8,3
431,"N.sylvatica","BGS",16.9,7,7.6,0
434,"N.sylvatica","BGS",25,7,11.2,0
435,"N.sylvatica","BGS",19,7,8.5,0
441,"N.sylvatica","BGS",25.7,7,11.5,0
443,"N.sylvatica","BGS",24.7,7,11.1,0
444,"N.sylvatica","BGS",25.2,7,11.3,0
452,"N.sylvatica","BGS",27.2,7,12.2,0
417,"T.canadensis","BGS",28.1,7,12.6,0
423,"T.canadensis","BGS",21,7,9.4,0
425,"T.canadensis","BGS",26.1,7,11.7,0
429,"T.canadensis","BGS",18.5,7,8.3,0
432,"T.canadensis","BGS",31,7,13.9,0
433,"T.canadensis","BGS",29.1,7,13.1,16
436,"T.canadensis","BGS",19.5,7,8.8,0
438,"T.canadensis","BGS",18.8,7,8.4,0
439,"T.canadensis","BGS",35.7,7,16,21
153,"A.rubrum","EMS",19.32,7,8.7,0
165,"A.rubrum","EMS",17.61,7,7.9,0
176,"A.rubrum","EMS",24.44,7,11,0
318,"A.rubrum","EMS",25.94,7,11.6,0
380,"A.rubrum","EMS",21.72,7,9.7,34
529,"A.rubrum","EMS",26.17,7,11.7,17
583,"A.rubrum","EMS",22.11,7,9.9,19
892,"A.rubrum","EMS",20.31,7,9.1,0
895,"A.rubrum","EMS",24.02,7,10.8,0
933,"A.rubrum","EMS",21.9,7,9.8,0
175,"Q.rubra","EMS",35.21,8,13.8,27
302,"Q.rubra","EMS",41.4,8,16.3,0
309,"Q.rubra","EMS",39.76,8,15.6,0
356,"Q.rubra","EMS",39.63,8,15.6,6
362,"Q.rubra","EMS",42.68,8,16.8,0
386,"Q.rubra","EMS",42.74,8,16.8,0
544,"Q.rubra","EMS",35.85,7,16.1,0
880,"Q.rubra","EMS",39.55,8,15.5,30
903,"Q.rubra","EMS",34.78,7,15.6,0
217,"T.canadensis","EMS",35.65,7,16,11
236,"T.canadensis","EMS",17.21,7,7.7,0
288,"T.canadensis","EMS",24.94,7,11.2,0
351,"T.canadensis","EMS",27.31,7,12.3,26
678,"T.canadensis","EMS",18.16,7,8.2,0
876,"T.canadensis","EMS",32.87,7,14.8,0
889,"T.canadensis","EMS",29.41,7,13.2,12
893,"T.canadensis","EMS",26.45,7,11.9,12
905,"T.canadensis","EMS",23.93,7,10.7,4
