"tree","species","site","dbh","sensor_count","paths","spacing","percent_damaged","mean_resistivity","pc1","category_pc1","category_species_median","category_absolute"
411,"A.rubrum","BGS",28.7,7,21,12.9,0,231,1.98,"II","II","II"
413,"A.rubrum","BGS",26,7,21,11.7,0,442,-1.99,"I","I","I"
418,"A.rubrum","BGS",26.7,7,21,12,0,135,2.44,"II","II","II"
419,"A.rubrum","BGS",20.6,7,21,9.2,0,277,-0.4,"I","I","II"
420,"A.rubrum","BGS",25.2,7,21,11.3,16,337,-1.08,"IV","IV","III"
421,"A.rubrum","BGS",25,7,21,11.2,0,147,0.7,"II","II","II"
422,"A.rubrum","BGS",18.8,7,21,8.4,0,135,-0.04,"I","II","II"
424,"A.rubrum","BGS",17.1,7,21,7.7,0,325,-0.72,"I","I","II"
426,"A.rubrum","BGS",24.2,7,21,10.9,0,225,0.4,"II","II","II"
442,"A.rubrum","BGS",17.3,7,21,7.8,0,306,-1.13,"I","I","II"
412,"N.sylvatica","BGS",19.4,7,21,8.7,0,360,0.85,"II","II","I"
414,"N.sylvatica","BGS",27.8,7,21,12.5,0,646,-2.11,"I","I","I"
427,"N.sylvatica","BGS",19.6,7,21,8.8,3,282,2.94,"III","III","III"
431,"N.sylvatica","BGS",16.9,7,21,7.6,0,256,2.06,"II","II","II"
434,"N.sylvatica","BGS",25,7,21,11.2,0,366,2.25,"II","II","I"
435,"N.sylvatica","BGS",19,7,21,8.5,0,266,-0.1,"I","II","II"
441,"N.sylvatica","BGS",25.7,7,21,11.5,0,476,-1.67,"I","I","I"
443,"N.sylvatica","BGS",24.7,7,21,11.1,0,623,-1.63,"I","I","I"
444,"N.sylvatica","BGS",25.2,7,21,11.3,0,662,-1.98,"I","I","I"
452,"N.sylvatica","BGS",27.2,7,21,12.2,0,537,-0.61,"I","I","I"
417,"T.canadensis","BGS",28.1,7,21,12.6,0,358,-0.63,"I","II","II"
423,"T.canadensis","BGS",21,7,21,9.4,0,334,-0.98,"I","II","II"
425,"T.canadensis","BGS",26.1,7,21,11.7,0,340,-0.59,"I","II","II"
429,"T.canadensis","BGS",18.5,7,21,8.3,0,387,0.7,"II","I","I"
432,"T.canadensis","BGS",31,7,21,13.9,0,327,0.61,"II","II","II"
433,"T.canadensis","BGS",29.1,7,21,13.1,16,352,0.3,"III","III","III"
436,"T.canadensis","BGS",19.5,7,21,8.8,0,575,-3.38,"I","I","I"
438,"T.canadensis","BGS",18.8,7,21,8.4,0,371,-0.2,"I","I","I"
439,"T.canadensis","BGS",35.7,7,21,16,21,498,0.33,"III","IV","IV"
153,"A.rubrum","EMS",19.32,7,21,8.7,0,208,-0.11,"I","II","II"
165,"A.rubrum","EMS",17.61,7,21,7.9,0,259,-1.32,"I","I","II"
176,"A.rubrum","EMS",24.44,7,21,11,0,383,-2.23,"I","I","I"
318,"A.rubrum","EMS",25.94,7,21,11.6,0,185,0.9,"II","II","II"
380,"A.rubrum","EMS",21.72,7,21,9.7,34,81,3.95,"III","III","III"
529,"A.rubrum","EMS",26.17,7,21,11.7,17,91,3.44,"III","III","III"
583,"A.rubrum","EMS",22.11,7,21,9.9,19,86,2.92,"III","III","III"
892,"A.rubrum","EMS",20.31,7,21,9.1,0,374,-1.67,"I","I","I"
895,"A.rubrum","EMS",24.02,7,21,10.8,0,410,-3.28,"I","I","I"
933,"A.rubrum","EMS",21.9,7,21,9.8,0,407,-2.77,"I","I","I"
175,"Q.rubra","EMS",35.21,8,28,13.8,27,333,4.68,"III","III","III"
302,"Q.rubra","EMS",41.4,8,28,16.3,0,581,-0.24,"I","I","I"
309,"Q.rubra","EMS",39.76,8,28,15.6,0,556,-0.92,"I","I","I"
356,"Q.rubra","EMS",39.63,8,28,15.6,6,471,0.34,"III","III","IV"
362,"Q.rubra","EMS",42.68,8,28,16.8,0,641,-1.2,"I","I","I"
386,"Q.rubra","EMS",42.74,8,28,16.8,0,527,0.29,"II","I","I"
544,"Q.rubra","EMS",35.85,7,21,16.1,0,672,-2.15,"I","I","I"
880,"Q.rubra","EMS",39.55,8,28,15.5,30,408,-0.42,"IV","III","IV"
903,"Q.rubra","EMS",34.78,7,21,15.6,0,487,-0.38,"I","II","I"
217,"T.canadensis","EMS",35.65,7,21,16,11,129,5.01,"III","III","III"
236,"T.canadensis","EMS",17.21,7,21,7.7,0,483,-1.58,"I","I","I"
288,"T.canadensis","EMS",24.94,7,21,11.2,0,484,-2.42,"I","I","I"
351,"T.canadensis","EMS",27.31,7,21,12.3,26,305,0.35,"III","III","III"
678,"T.canadensis","EMS",18.16,7,21,8.2,0,246,1.4,"II","II","II"
876,"T.canadensis","EMS",32.87,7,21,14.8,0,506,-1.23,"I","I","I"
889,"T.canadensis","EMS",29.41,7,21,13.2,12,296,1,"III","III","III"
893,"T.canadensis","EMS",26.45,7,21,11.9,12,454,-0.3,"IV","IV","IV"
905,"T.canadensis","EMS",23.93,7,21,10.7,4,422,1.59,"III","IV","IV"
