tree,sp,site,dbh,percent_damaged,mean,cma,pc1,xdev,cat_pc1,cat_species_median,cat_absolute,cat_6cell
411,A.rubrum,BGS,28.7,0,230.94,0.2036,1.98,0.118,II,II,II,I
412,N.sylvatica,BGS,19.4,0,360.19,0.376,0.854,0.376,II,II,I,I
413,A.rubrum,BGS,26.0,0,442.31,0.0,-1.989,-1.684,I,I,I,I
414,N.sylvatica,BGS,27.8,0,646.34,0.0436,-2.112,-1.391,I,I,I,I
417,T.canadensis,BGS,28.1,0,357.5,0.3677,-0.627,0.061,I,II,II,I
418,A.rubrum,BGS,26.7,0,134.86,0.4092,2.436,0.937,II,II,II,II
419,A.rubrum,BGS,20.6,0,276.76,0.0,-0.398,-0.273,I,I,II,I
420,A.rubrum,BGS,25.2,16,336.64,0.0421,-1.081,-0.783,IV,IV,III,IV
421,A.rubrum,BGS,25.0,0,147.43,0.3223,0.704,0.83,II,II,II,II
422,A.rubrum,BGS,18.8,0,134.85,0.4136,-0.035,0.937,I,II,II,II
423,T.canadensis,BGS,21.0,0,333.75,0.4277,-0.975,0.281,I,II,II,I
424,A.rubrum,BGS,17.1,0,325.41,0.1121,-0.72,-0.687,I,I,II,I
425,T.canadensis,BGS,26.1,0,339.93,0.4747,-0.586,0.224,I,II,II,I
426,A.rubrum,BGS,24.2,0,225.18,0.0005,0.398,0.167,II,II,II,I
427,N.sylvatica,BGS,19.6,3,281.73,0.012,2.937,0.86,III,III,III,III
429,T.canadensis,BGS,18.5,0,386.56,0.296,0.702,-0.208,II,I,I,I
431,N.sylvatica,BGS,16.9,0,255.94,0.4602,2.064,1.019,II,II,II,II
432,T.canadensis,BGS,31.0,0,326.75,0.3932,0.614,0.346,II,II,II,I
433,T.canadensis,BGS,29.1,16,352.26,0.4025,0.302,0.11,III,III,III,III
434,N.sylvatica,BGS,25.0,0,366.37,0.0,2.254,0.337,II,II,I,I
435,N.sylvatica,BGS,19.0,0,266.34,0.2296,-0.099,0.955,I,II,II,II
436,T.canadensis,BGS,19.5,0,574.61,0.3862,-3.38,-1.948,I,I,I,I
438,T.canadensis,BGS,18.8,0,370.77,0.2587,-0.202,-0.061,I,I,I,I
439,T.canadensis,BGS,35.7,21,497.68,0.1834,0.331,-1.236,III,IV,IV,IV
441,N.sylvatica,BGS,25.7,0,475.7,0.0,-1.671,-0.337,I,I,I,I
442,A.rubrum,BGS,17.3,0,305.53,0.2033,-1.131,-0.518,I,I,II,I
443,N.sylvatica,BGS,24.7,0,622.67,0.2329,-1.634,-1.245,I,I,I,I
444,N.sylvatica,BGS,25.2,0,662.1,0.2059,-1.98,-1.488,I,I,I,I
452,N.sylvatica,BGS,27.2,0,536.87,0.0,-0.612,-0.715,I,I,I,I
217,T.canadensis,EMS,35.65,11,128.51,0.2371,5.014,2.181,III,III,III,III
351,T.canadensis,EMS,27.31,26,304.65,0.1961,0.348,0.551,III,III,III,III
356,Q.rubra,EMS,39.63,6,470.7,0.4277,0.344,0.522,III,III,IV,III
362,Q.rubra,EMS,42.68,0,641.38,0.0484,-1.204,-1.053,I,I,I,I
380,A.rubrum,EMS,21.72,34,81.41,0.0465,3.951,1.393,III,III,III,III
386,Q.rubra,EMS,42.74,0,527.29,0.4211,0.288,-0.0,II,I,I,I
529,A.rubrum,EMS,26.17,17,91.49,0.3392,3.442,1.307,III,III,III,III
544,Q.rubra,EMS,35.85,0,671.72,0.3254,-2.148,-1.333,I,I,I,I
288,T.canadensis,EMS,24.94,0,484.15,0.2566,-2.423,-1.111,I,I,I,I
583,A.rubrum,EMS,22.11,19,86.35,0.3128,2.925,1.351,III,III,III,III
678,T.canadensis,EMS,18.16,0,245.54,0.3216,1.401,1.098,II,II,II,II
876,T.canadensis,EMS,32.87,0,505.83,0.4827,-1.229,-1.312,I,I,I,I
880,Q.rubra,EMS,39.55,30,407.82,0.1018,-0.416,1.103,IV,III,IV,III
889,T.canadensis,EMS,29.41,12,295.66,0.4451,0.998,0.634,III,III,III,III
892,A.rubrum,EMS,20.31,0,373.67,0.118,-1.671,-1.099,I,I,I,I
893,T.canadensis,EMS,26.45,12,454.45,0.397,-0.3,-0.836,IV,IV,IV,IV
895,A.rubrum,EMS,24.02,0,409.63,0.205,-3.277,-1.406,I,I,I,I
903,Q.rubra,EMS,34.78,0,487.0,0.2839,-0.38,0.372,I,II,I,I
905,T.canadensis,EMS,23.93,4,422.11,0.458,1.595,-0.537,III,IV,IV,IV
236,T.canadensis,EMS,17.21,0,482.95,0.4048,-1.58,-1.1,I,I,I,I
933,A.rubrum,EMS,21.9,0,406.88,0.0776,-2.769,-1.382,I,I,I,I
153,A.rubrum,EMS,19.32,0,207.81,0.3718,-0.112,0.315,I,II,II,I
165,A.rubrum,EMS,17.61,0,258.63,0.4059,-1.316,-0.118,I,I,II,I
175,Q.rubra,EMS,35.21,27,333.0,0.4107,4.676,1.794,III,III,III,III
176,A.rubrum,EMS,24.44,0,382.82,0.0,-2.232,-1.177,I,I,I,I
302,Q.rubra,EMS,41.4,0,580.99,0.3906,-0.243,-0.496,I,I,I,I
309,Q.rubra,EMS,39.76,0,555.54,0.4141,-0.916,-0.261,I,I,I,I
318,A.rubrum,EMS,25.94,0,184.86,0.4719,0.895,0.511,II,II,II,II
