"Filename","Mean","Median","SD","CV","Gini","Entropy","CMA","RadialGradient","NPixels"
"HF_201246_DBH.jpg",409.36,409.36,118.11,0.2885,0.1605,16.9868,0.3758,212.76,135580
"HF_201246_DBH.jpg",409.49,409.36,117.92,0.288,0.1602,16.9845,0.3798,212.5,135342
"HF_201246_DBH.jpg",409.25,409.36,117.48,0.2871,0.1601,16.974,0.3783,210.11,134339
"HF_978_DBH.jpg",429.87,447.38,150.21,0.3494,0.1989,16.9462,0.401,285.22,134579
"HF_978_Lower.jpg",339.44,310.57,206.53,0.6084,0.3322,16.6038,0.41,329.62,118704
"HF_978_Upper.jpg",501.55,496.32,137.3,0.2738,0.1553,16.9583,0.377,252.35,132358
"HF_021110_DBH.jpg",543.1,559.85,202.72,0.3733,0.2116,16.8834,0.4146,338.09,130143
"HF_021110_Lower.jpg",451.43,447.38,230.59,0.5108,0.2893,16.8137,0.4302,394.6,131561
"HF_021110_Upper.jpg",543.25,560.22,133.37,0.2455,0.1373,16.9559,0.4076,268.09,131358
"HF_031205_DBH.jpg",808.48,986.68,260.6,0.3223,0.1645,16.8207,0.1222,-25.82,123009
"HF_031205_Lower.jpg",491.51,504.67,199.26,0.4054,0.2314,16.8513,0.4159,394.54,129103
"HF_031205_Lower.jpg",491.75,504.67,198.35,0.4033,0.2304,16.8524,0.4298,392.92,129096
"HF_061273_DBH.jpg",177.94,156.52,92.63,0.5206,0.2826,16.8989,0.2948,134.72,138544
"HF_061273_Lower.jpg",123.65,90.65,98.27,0.7948,0.351,16.6885,0.1057,-87.07,132762
"HF_061273_Upper.jpg",270.97,266.38,141.3,0.5215,0.2939,16.8195,0.4355,283.64,132580
"HF_070836_DBH.jpg",294.89,310.57,86.87,0.2946,0.164,16.9848,0.363,166.56,135646
"HF_070836_Lower.jpg",227.58,210.63,104.28,0.4582,0.2548,16.9032,0.4018,186,135822
"HF_070836_Upper.jpg",308.33,315.58,74.71,0.2423,0.1363,16.9925,0.3735,158.62,134413
"HF_070836_Upper.jpg",307.57,315.58,74.35,0.2417,0.1363,16.97,0.3722,157.23,132313
"HF_101924_DBH.jpg",533.51,504.67,175.67,0.3293,0.1834,16.8695,0.3315,140.05,126159
"HF_101924_Lower.jpg",510.88,504.67,210.73,0.4125,0.2323,16.8623,0.4006,341.13,130400
"HF_101924_Upper.jpg",522.55,496.32,136.86,0.2619,0.1428,16.9301,0.2807,92.99,129046
"HF_111908_DBH.jpg",518.85,504.67,147.56,0.2844,0.1577,16.7862,0.3755,142.18,117746
"HF_121741_DBH.jpg",306.57,315.58,101.23,0.3302,0.1863,16.9069,0.3787,209.34,130276
"HF_162199_DBH.jpg",609.14,621.93,147.56,0.2422,0.1345,16.9331,0.3898,183.27,128960
"HF_181967_DBH.jpg",105.18,55.9,110.74,1.0528,0.4772,16.4626,0.0665,81.07,135706
"HF_201246_DBH.jpg",408.91,409.36,117.07,0.2863,0.1599,16.9603,0.3837,210.33,133052
"HF_201290_DBH.jpg",477.32,479.97,134.64,0.2821,0.1604,16.8986,0.3972,210.02,127157
