filename,tree,mean,median,sd,cv,gini,entropy,cma,radialgradiant,npixels
933_22vii24.jpg,933,406.88,367.97,187.14,0.4599,0.2597,16.8737,0.0776,-157.22,133639
905_2vii24.jpg,905,422.11,392.03,242.43,0.5743,0.3214,16.3158,0.458,350.06,96153
903_2vii24.jpg,903,487,454.5,162.19,0.333,0.1896,16.8481,0.2839,74.83,124836
895_12vii24.jpg,895,409.63,392.03,130.75,0.3192,0.1789,16.8223,0.205,-28.89,122109
893_15vii24.jpg,893,454.45,447.38,213.79,0.4704,0.2692,16.7877,0.397,457.57,127708
892_12vii24.jpg,892,373.67,349.02,179.02,0.4791,0.2702,16.5417,0.118,-111.07,107018
889_12vii24.jpg,889,295.66,301.8,140.88,0.4765,0.2674,16.7322,0.4451,283.54,122480
880_12vii24.jpg,880,407.82,402.69,132.52,0.3249,0.1842,17.0078,0.1018,-48.69,139261
876_18vii24.jpg,876,505.83,560.22,227.68,0.4501,0.2541,16.8922,0.4827,504.74,136700
678_18vii24.jpg,678,245.54,227.41,131.88,0.5371,0.3021,16.8357,0.3216,173.95,134872
677_18vii24.jpg,677,230.28,162.76,176.16,0.765,0.3731,16.6563,0.3733,218.69,130579
583_19vii24.jpg,583,86.35,39.42,76.85,0.89,0.4387,16.4485,0.3128,113.8,124508
544_19vii24.jpg,544,671.72,680.97,231.58,0.3448,0.1976,16.9533,0.3254,103.6,135187
529_19vii24.jpg,529,91.49,44.04,87.87,0.9605,0.4568,16.3095,0.3392,129.93,116753
452_26vii24.jpg,452,536.87,531.47,246.37,0.4589,0.2623,16.5635,0,-391.44,108008
444_02viii24.jpg,444,662.1,680.97,230.16,0.3476,0.1993,16.8785,0.2059,-12.64,128488
443_02viii24.jpg,443,622.67,621.93,224.64,0.3608,0.2063,16.875,0.2329,18.48,128828
442_02viii24.jpg,442,305.53,241.61,172.05,0.5631,0.3055,16.7945,0.2033,-70.92,131613
441_01viii24.jpg,441,475.7,479.97,116.95,0.2458,0.1397,17.0012,0,-191.23,135380
439_02viii24.jpg,439,497.68,409.46,324.03,0.6511,0.3658,16.5862,0.1834,-55.97,122228
438_01viii24.jpg,438,370.77,331.92,182.6,0.4925,0.2546,16.9128,0.2587,136.31,137473
436_01viii24.jpg,436,574.61,589.75,121.66,0.2117,0.1186,16.9677,0.3862,180.35,131252
435_31vii24.jpg,435,266.34,277.09,67,0.2516,0.1381,16.8384,0.2296,-0.49,121141
434_3vii24.jpg,434,366.37,305.97,283.82,0.7747,0.4252,16.1734,0,-402.16,99038
433_02viii24.jpg,433,352.26,315.58,158.3,0.4494,0.2365,16.7838,0.4025,277.91,123749
432_02viii24.jpg,432,326.75,310.57,159.21,0.4873,0.2609,16.773,0.3932,220.28,125037
431_02viii24.jpg,431,255.94,258.56,167.96,0.6563,0.3409,16.6285,0.4602,274.16,123577
429_02viii24.jpg,429,386.56,326.18,210.41,0.5443,0.3003,16.6972,0.296,212.23,122374
428_02viii24.jpg,428,348.69,315.58,159.05,0.4561,0.2583,16.797,0.3642,261.27,126469
427_30vii24.jpg,427,281.73,183.72,257.84,0.9152,0.4653,16.439,0.012,-250.84,126808
426_30vii24.jpg,426,225.18,187.42,148.95,0.6615,0.3729,16.5335,5E-04,-216.65,118370
425_30vii24.jpg,425,339.93,331.92,106.95,0.3146,0.1734,16.8871,0.4747,203.76,127182
424_30vii24.jpg,424,325.41,305.97,187.04,0.5748,0.3177,16.4636,0.1121,-131.19,106494
423_30vii24.jpg,423,333.75,349.02,96.5,0.2891,0.1616,16.9853,0.4277,234.71,135662
422_30vii24.jpg,422,134.85,131.59,67.29,0.499,0.2794,16.8172,0.4136,122.09,131312
421_30vii24.jpg,421,147.43,122.02,83.69,0.5677,0.2889,16.536,0.3223,105.51,108986
420_26vii24.jpg,420,336.64,301.8,186.18,0.5531,0.3019,16.5095,0.0421,-258.52,107827
419_26vii24.jpg,419,276.76,227.41,190.02,0.6866,0.3719,16.6732,0,-417.95,130130
418_26vii24.jpg,418,134.86,95.17,116.24,0.862,0.4326,16.4562,0.4092,166.43,122291
417_3vii24.jpg,417,357.5,331.92,125.09,0.3499,0.1905,16.8938,0.3677,167.77,129039
414_26vii24.jpg,414,646.34,670,238.58,0.3691,0.212,16.9415,0.0436,-247.65,135134
413_26vii24.jpg,413,442.31,349.02,276.48,0.6251,0.3516,16.6919,0,-587.23,128665
412_26vii24.jpg,412,360.19,331.92,186.09,0.5166,0.2885,16.7517,0.376,256.74,126137
411_3vii24.jpg,411,230.94,139.43,213.73,0.9255,0.4775,16.4963,0.2036,189.72,134392
386_19vii24.jpg,386,527.29,560.22,219.43,0.4161,0.2357,16.7804,0.4211,361.95,124510
380_19vii24.jpg,380,81.41,53.94,111.31,1.3673,0.4156,16.2423,0.0465,68.96,117374
366_18vii24.jpg,366,443.53,479.97,175.31,0.3953,0.2208,16.8559,0.4147,368.27,130483
362_18vii24.jpg,362,641.38,670,258.82,0.4035,0.2312,16.7051,0.0484,-285.28,116549
356_18vii24.jpg,356,470.7,479.97,179.16,0.3806,0.2148,16.8309,0.4277,314.81,126835
351_18vii24.jpg,351,304.65,277.09,130.7,0.429,0.2284,16.738,0.1961,80.06,118891
318_18vii24.jpg,318,184.86,174.8,119.44,0.6461,0.3469,16.5439,0.4719,221.46,116874
309_18vii24.jpg,309,555.54,560.22,203.12,0.3656,0.2078,17.0143,0.4141,291.27,142759
302_18vii24.jpg,302,580.99,560.22,234.19,0.4031,0.231,16.8179,0.3906,248.79,126006
288_19vii24.jpg,288,484.15,454.5,109.72,0.2266,0.1263,16.8939,0.2566,72.8,124915
236_19vii24.jpg,236,482.95,479.97,138.58,0.287,0.1588,16.6935,0.4048,144.51,110239
217_18vii24.jpg,217,128.51,84.48,130.36,1.0144,0.4338,16.5093,0.2371,152.82,131429
176_22vii24.jpg,176,382.82,349.02,180.08,0.4704,0.2694,16.7108,0,-236.23,120207
175_19vii24.jpg,175,333,310.57,200.16,0.6011,0.3267,16.4059,0.4107,115.56,103379
165_19vii24.jpg,165,258.63,258.56,110.29,0.4264,0.237,16.7636,0.4059,127.12,121995
153_22vii24.jpg,153,207.81,187.42,117.36,0.5647,0.3173,16.7409,0.3718,108.77,128747
