axis_id,threshold_method,ert_threshold,silhouette,balance,coherence,n_I,n_II,n_III,n_IV,n_total,n_empty_quads,has_all_quads,composite
cma__species_site_znorm,mean,-2.337311630789803e-17,0.5173862188543067,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.8085533702606689
cma__species_site_znorm,otsu,-0.012634108552818261,0.5173862188543067,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.8085533702606689
cma__species_site_znorm,gmm,-0.13446264820829495,0.5173862188543067,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.8085533702606689
abs_cma__species_site_znorm,mean,-2.337311630789803e-17,0.5173862188543067,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.8085533702606689
abs_cma__species_site_znorm,otsu,-0.012634108552818261,0.5173862188543067,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.8085533702606689
abs_cma__species_site_znorm,gmm,-0.13446264820829495,0.5173862188543067,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.8085533702606689
cv_x_absradgrad__product_species_znorm,mean,-9.641410477007939e-17,0.5105990832778278,0.9022136644250758,1,25,17,9,6,57,0,TRUE,0.8042630952535087
cv_x_absradgrad__product_species_znorm,otsu,-0.019065710058954258,0.5105990832778278,0.9022136644250758,1,25,17,9,6,57,0,TRUE,0.8042630952535087
cv_x_absradgrad__product_species_znorm,median,-0.1734718598028038,0.5023835081922919,0.9095007284679221,1,23,19,9,6,57,0,TRUE,0.8032094099842826
cma__species_znorm,mean,1.0907454277019081e-16,0.5029335389826842,0.9056138009417821,1,17,25,8,7,57,0,TRUE,0.802430188879385
cma__species_znorm,otsu,-0.09770879979129825,0.5029335389826842,0.9056138009417821,1,17,25,8,7,57,0,TRUE,0.802430188879385
cma__species_znorm,gmm,-0.1325820077844242,0.5029335389826842,0.9056138009417821,1,17,25,8,7,57,0,TRUE,0.802430188879385
abs_cma__species_znorm,mean,1.0907454277019081e-16,0.5029335389826842,0.9056138009417821,1,17,25,8,7,57,0,TRUE,0.802430188879385
abs_cma__species_znorm,otsu,-0.09770879979129825,0.5029335389826842,0.9056138009417821,1,17,25,8,7,57,0,TRUE,0.802430188879385
abs_cma__species_znorm,gmm,-0.1325820077844242,0.5029335389826842,0.9056138009417821,1,17,25,8,7,57,0,TRUE,0.802430188879385
gini_x_absradgrad__product_species_znorm,median,-0.20629986569475275,0.49660475661940834,0.9095007284679221,1,23,19,9,6,57,0,TRUE,0.8011868469337734
gini_x_negmean__product_species_znorm,otsu,-0.05792568607107603,0.49835627546371747,0.9049866458541396,1,21,21,10,5,57,0,TRUE,0.800671357875836
gini_x_negmean__product_species_znorm,gmm,-0.08116047240106827,0.49835627546371747,0.9049866458541396,1,21,21,10,5,57,0,TRUE,0.800671357875836
cma__raw,mean,0.2601473684210526,0.4907411915445611,0.9147121828528005,1,20,22,8,7,57,0,TRUE,0.8004374627537965
abs_cma__raw,mean,0.2601473684210526,0.4907411915445611,0.9147121828528005,1,20,22,8,7,57,0,TRUE,0.8004374627537965
cma__lutz_global,mean,0.0026140350877192973,0.4907411915445611,0.9147121828528005,1,20,22,8,7,57,0,TRUE,0.8004374627537965
abs_cma__lutz_global,mean,0.0026140350877192973,0.4907411915445611,0.9147121828528005,1,20,22,8,7,57,0,TRUE,0.8004374627537965
cma__raw,otsu,0.24958000000000008,0.4939908825775731,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.8003650025638122
abs_cma__raw,otsu,0.24958000000000008,0.4939908825775731,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.8003650025638122
cma__lutz_global,otsu,-0.007953333333333257,0.4939908825775731,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.8003650025638122
abs_cma__lutz_global,otsu,-0.007953333333333257,0.4939908825775731,0.9098727746466464,1,18,24,8,7,57,0,TRUE,0.8003650025638122
gini_x_negmean__product_species_znorm,mean,-4.0902953538821554e-17,0.49663232705560933,0.9043837883887023,1,22,20,10,5,57,0,TRUE,0.7999172615666388
gini_x_absradgrad__product_species_znorm,mean,-2.337311630789803e-17,0.4910847887827513,0.9098727746466464,1,24,18,8,7,57,0,TRUE,0.79934786973562455
entropy__species_site_znorm,mean,1.0732155904709846e-15,0.504307073945369,0.8897752343193986,1,16,26,5,10,57,0,TRUE,0.7989512844607288
cma__species_znorm,median,0.13314482285176266,0.48447212512765286,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7982432895078786
abs_cma__species_znorm,median,0.13314482285176266,0.48447212512765286,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7982432895078786
neg_median__species_site_znorm,mean,7.304098846218136e-17,0.4999577098225095,0.8918283794529875,1,23,19,11,4,57,0,TRUE,0.7979422933011252
neg_median__species_site_znorm,otsu,0.14768440087867127,0.4999577098225095,0.8918283794529875,1,23,19,11,4,57,0,TRUE,0.7979422933011252
neg_median__species_site_znorm,gmm,-0.10742710963955804,0.4999577098225095,0.8918283794529875,1,23,19,11,4,57,0,TRUE,0.7979422933011252
median__species_site_znorm,mean,-7.304098846218136e-17,0.4999577098225095,0.8918283794529875,1,19,23,4,11,57,0,TRUE,0.7979422933011252
median__species_site_znorm,otsu,-0.14768440087867127,0.4999577098225095,0.8918283794529875,1,19,23,4,11,57,0,TRUE,0.7979422933011252
median__species_site_znorm,gmm,0.10789662077114354,0.4999577098225095,0.8918283794529875,1,19,23,4,11,57,0,TRUE,0.7979422933011252
cma__raw,gmm,0.28712887208411136,0.4829178471800814,0.9153150403182377,1,21,21,8,7,57,0,TRUE,0.7978500065925879
abs_cma__raw,gmm,0.28712887208411136,0.4829178471800814,0.9153150403182377,1,21,21,8,7,57,0,TRUE,0.7978500065925879
